#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2017-11-13T17:19:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5a09d332b64d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/ApJ/835/74&tab:{J/ApJ/835/74/table1}&key:source=J/ApJ/835/74&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/835/74/table1
#-order=I
#-out=Seq
#-out=Name
#-out=z
#NED=NED
#

#RESOURCE=yCat_18350074
#Name: J/ApJ/835/74
#Title: IR photometry of AGNs in Swift/BAT 70 month cat. (Ichikawa+, 2017)
#Table	J_ApJ_835_74_table1:
#Name: J/ApJ/835/74/table1
#Title: IR and 14-195keV X-ray properties of the Swift/BAT 70-month AGN catalog
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Seq	(I4)	Sequence No. of the Swift/BAT 70 month catalog	[ucd=meta.id;meta.main]
#Column	Name	(a24)	Object name	[ucd=meta.id]
#Column	z	(F11.5)	[0.001/0.7]? Redshift	[ucd=src.redshift]
_RAJ2000	_DEJ2000	Seq	Name	z
033.9030	-13.0110	 118	3C 062                  	    0.14700
035.5930	+25.1550	 122	2MASX J02223523+2508143 	    0.06203
035.8310	+45.8090	 123	V Zw 232 NOTES02        	    0.06200
036.2110	-23.2220	 124	PKS 0222-23             	    0.23220
036.3280	-63.2120	 126	Fairall 296             	    0.05800
036.5900	-28.3290	 127	AM 0224-283             	    0.05980
036.7450	+23.7730	 128	MCG +04-06-043          	    0.03330
037.0780	+31.3160	 129	NGC 931                 	    0.01670
037.5460	-08.9980	 130	Mrk 1044                	    0.01650
037.9150	-36.6660	 131	IC 1816                 	    0.01700
038.5980	+32.4980	 133	NGC 973                 	    0.01620
038.6440	-08.7740	 134	NGC 985                 	    0.04300
038.8500	-29.5980	 135	ESO 416-G002            	    0.05920
039.5760	-52.2250	 136	ESO 198-024             	    0.04550
039.6230	-61.3170	 137	2MASX J02384313-6117227 	    0.05400
039.7530	-40.6580	 138	2MASX J02384897-4038377 	    0.06180
040.3930	+07.1880	 141	Mrk 595                 	    0.02700
040.5010	+05.2750	 142	2MASX J02420381+0510061 	    0.06900
040.5750	+05.5090	 143	2MASX J02421465+0530361 	    0.06900
040.6630	-00.0200	 144	NGC 1068                	    0.00380
041.1410	-24.5030	 146	ESO 479- G 031          	    0.02350
042.2730	+26.4730	 149	2MASX J02485937+2630391 	    0.05790
042.6050	+46.7720	 150	2MASX J02502722+4647295 	    0.02146
042.6770	+41.7080	 152	NGC 1106                	    0.01450
042.9280	-16.6330	 153	NGC 1125                	    0.01100
043.0530	+43.2100	 155	FGC 0351                	    0.05180
043.1090	-08.5160	 156	MCG -02-08-014          	    0.01680
043.7920	-00.1660	 157	NGC 1142                	    0.02890
044.0910	-32.1580	 159	ESO 417- G 006          	    0.01630
045.0010	-10.8060	 162	MCG -02-08-038          	    0.03260
045.9380	-01.1360	 163	NGC 1194                	    0.01360
046.9890	-72.8430	 164	ESO 031- G 008          	    0.02760
047.0120	-22.9690	 165	NGC 1229                	    0.03600
047.7770	+32.7100	 166	2MASX J03104435+3239296 	    0.12700
047.8300	-20.7490	 167	RX J0311.3-2046         	    0.06700
049.2790	+01.2500	 171	MCG +00-09-042          	    0.02380
051.2520	-41.8640	 175	LCRS B032315.2-420449   	    0.05800
051.4750	-56.5640	 178	2MASX J03252346-5635443 	    0.06020
052.1670	-28.7180	 179	PKS 0326-288            	    0.10800
052.7240	+05.6550	 180	2MASX J03305218+0538253 	    0.04600
052.8500	-05.1610	 182	MCG -01-09-045          	    0.01280
053.3240	+37.3280	 183	2MASX J03331873+3718107 	    0.05580
053.4050	-36.1490	 184	NGC 1365                	    0.00550
053.6000	-15.2500	 185	2MASX J03342453-1513402 	    0.03490
053.8150	+19.1310	 187	2MASX J03352254+1907282 	    0.18900
055.5130	-21.2270	 189	ESO 548-G081            	    0.01450
056.2930	-39.5960	 190	LCRS B034324.7-394349   	    0.04310
056.7930	-30.4480	 191	HE 0345-3033            	    0.09500
057.5850	-50.3020	 193	ESO201-4                	    0.03590
057.9310	-40.4980	 194	Fairall 1116            	    0.05860
058.4500	+37.2010	 196	2MASX J03534246+3714077 	    0.01830
058.5010	+02.8260	 197	2MASX J03540948+0249307 	    0.03600
059.0860	-62.8900	 199	2MASX J03561995-6251391 	    0.10760
059.2030	-40.7040	 200	2MASX J03565655-4041453 	    0.07470
059.8070	-30.2290	 202	SARS 059.33488-30.34397 	    0.09730
059.8070	-30.2290	 203	SARS 059.28692-30.44439 	    0.09390
060.6090	-18.0870	 205	ESO 549- G 049          	    0.02630
061.3340	-37.1170	 207	ESO 359- G 019          	    0.05520
061.8240	+03.7420	 209	3C 105                  	    0.08900
063.4460	+11.2070	 212	3C 109                  	    0.30560
063.7100	-07.9280	 213	IRAS 04124-0803         	    0.03790
064.9730	-54.9460	 216	NGC 1566                	    0.00500
065.6220	-56.2020	 217	ESO 157- G 023          	    0.04350
065.8910	+04.1410	 218	2MASX J04234080+0408017 	    0.04500
066.5100	-57.2190	 220	1H 0419-577             	    0.10400
066.8100	-11.9910	 221	MCG -02-12-017          	    0.03250
067.0680	-67.0910	 223	2MASX J04294735-6703205 	    0.06500
068.3510	-58.7320	 227	2MASX J04332716-5843346 	    0.10230
069.0690	-10.3620	 228	Mrk 618                 	    0.03550
069.3380	-47.2090	 229	2MASX J04372814-4711298 	    0.05300
069.5530	-10.7930	 230	MCG -02-12-050          	    0.03640
070.0690	-59.6910	 231	ESO 118-IG 033 NED01    	    0.05770
070.1710	+27.6500	 232	2MASX J04404770+2739466 	    0.03800
070.3120	-27.0700	 234	IRAS 04392-2713         	    0.08350
070.4850	-08.4160	 235	1RXS J044154.5-082639   	    0.04400
070.9400	+28.9650	 236	UGC 03142               	    0.02170
071.0000	+28.2340	 237	2MASX J04440903+2813003 	    0.01130
071.1220	-28.1660	 238	PKS 0442-28             	    0.14700
071.5930	+18.4400	 239	UGC 3157                	    0.01540
072.8810	-03.8440	 242	MCG -01-13-025          	    0.01590
072.9670	-58.1800	 243	RBS 594                 	    0.09070
073.3540	+04.0730	 245	CGCG 420-015            	    0.02940
073.6580	-43.2530	 246	2MASX J04544295-4314231 	    0.08770
074.0320	-75.5200	 247	ESO 033- G 002          	    0.01810
075.5790	+03.5340	 252	2MASX J05020903+0331499 	    0.01600
075.7280	+23.0090	 254	LEDA 097068             	    0.05770
076.1790	-73.8030	 256	2MASX J05043414-7349269 	    0.04520
076.4400	-23.8550	 258	2MASX J05054575-2351139 	    0.03500
077.0900	+17.4120	 260	CGCG 468-002 NED01      	    0.01750
077.6840	+16.5070	 261	IRAS 05078+1626         	    0.01790
077.9960	-18.5300	 262	ESO 553- G 022          	    0.04210
078.4000	+66.4950	 263	CGCG 307-007            	    0.01490
078.8230	+18.9080	 265	2MASX J05151978+1854515 	    0.02349
079.0490	-00.1380	 266	Ark 120                 	    0.03230
079.0780	+19.4700	 267	2MFGC 04298             	    0.02120
079.0960	-10.5550	 268	MCG -02-14-009          	    0.02850
079.9120	-32.6770	 269	ESO 362-18              	    0.01250
079.9220	-45.7770	 270	PICTOR A                	    0.03510
080.2440	-25.3580	 272	2MASX J05210136-2521450 	    0.04260
081.0310	-12.1890	 274	IRAS 05218-1212         	    0.04900
081.5840	-21.2850	 279	ESO 553- G 043          	    0.02780
083.2230	+13.7200	 285	2MASX J05325752+1345092 	    0.02335
083.4690	-13.3300	 286	MCG -02-15-004          	    0.02897
085.8850	-27.6750	 301	MCG -05-14-012          	    0.00990
086.0300	-43.4680	 302	2MASX J05440009-4325265 	    0.04500
086.0660	+59.1360	 303	2MASX J05442257+5907361 	    0.06600
086.8190	+50.6610	 304	2MASX J05471492+5038251 	    0.03600
087.1070	-47.8010	 305	ESO 205-IG 003 NED01    	    0.05050
088.0390	-07.4340	 308	NGC 2110                	    0.00780
088.1570	+59.4840	 309	IRAS 05480+5927         	    0.05850
088.7630	+46.4460	 310	MCG +08-11-011          	    0.02050
089.5290	-38.3570	 313	2MASX J05580206-3820043 	    0.03390
089.9510	-50.4590	 314	PKS 0558-504            	    0.13720
090.1590	+00.1150	 315	IRAS 05581+0006         	    0.11470
090.6150	+65.3490	 317	UGC 03386               	    0.01540
091.4950	-27.9100	 318	2MASX J06054896-2754398 	    0.08920
091.5700	-86.6260	 319	ESO 005- G 004          	    0.00620
092.4450	-62.7000	 320	2MASX J06100652-6243125 	    0.15700
092.4450	-62.7000	 321	2MASX J06083867-6247168 	    0.09896
093.8360	+71.0370	 325	Mrk 3                   	    0.01350
095.8200	+64.7810	 328	NVSS J062335+644538     	    0.08600
095.9220	-60.9560	 329	ESO 121-IG 028          	    0.04030
095.9380	-32.1930	 330	ESO 426- G 002          	    0.02240
096.6420	-37.0280	 334	6dF J0626586-370559     	    0.03930
097.6630	+63.7080	 335	UGC 03478               	    0.01280
098.2080	+63.7190	 337	UGC 3478                	    0.04130
098.5750	-74.7420	 338	1RXS J063401.1-744629   	    0.11200
100.0380	-25.9040	 342	ESO 490-IG026           	    0.02480
100.1130	-43.3490	 344	2MASX J06403799-4321211 	    0.06100
100.3520	+32.8360	 345	2MASX J06411806+3249313 	    0.04700
101.5910	+53.0830	 346	UGC 3533                	    0.03590
103.1410	+74.4160	 347	Mrk 6                   	    0.01880
103.9260	+39.9750	 349	UGC 03601               	    0.01710
104.0910	-49.3160	 350	2MASX J06561197-4919499 	    0.04100
105.3100	-32.6050	 354	2MASX J07011026-3234534 	    0.04380
106.8300	+64.5880	 357	VII Zw 118              	    0.07970
107.2310	-46.6840	 358	2MASX J07084326-4642494 	    0.04690
107.3330	-36.0290	 360	PKS 0707-35             	    0.11080
108.5450	+35.2920	 362	MCG +06-16-028          	    0.01570
108.5530	+45.6720	 363	Mrk 376                 	    0.05600
109.5210	+44.0660	 366	RX J0718.0+4405         	    0.06140
111.4500	+29.9990	 369	CGCG 147-020            	    0.01880
111.6780	+37.0000	 371	2MASX J07263532+3700028 	    0.19000
113.2630	+45.9590	 376	1RXS J073308.7+455511   	    0.14140
114.2460	+58.7880	 378	Mrk 9                   	    0.03990
115.5640	+80.4060	 381	3C 184.1                	    0.11820
115.6550	+49.8030	 382	Mrk 79                  	    0.02220
115.7590	+65.2090	 383	Mrk 78                  	    0.03710
116.0060	+29.2360	 385	UGC 03995B              	    0.01600
116.8540	+60.9120	 389	Mrk 10                  	    0.02930
116.8890	-73.4390	 390	2MASX J07473839-7325533 	    0.03670
118.1020	+19.6150	 394	2MASX J07521780+1935423 	    0.11720
118.2740	+45.9780	 395	B3 0749+460A            	    0.05180
119.9580	+23.3890	 399	2MASX J07595347+2323241 	    0.02920
120.0860	+26.6330	 400	IC 0486                 	    0.02690
120.4690	-49.7690	 402	ESO 209- G 012          	    0.04050
120.8700	+08.7040	 403	2MASX J08032736+0841523 	    0.04680
121.0380	+05.1010	 404	Mrk 1210                	    0.01350
121.2710	-01.1710	 406	2MASX J08045299-0108476 	    0.09190
121.9710	+38.9880	 408	Mrk 622                 	    0.02320
122.7260	+76.0320	 409	PG 0804+761             	    0.10000
123.5800	+04.3650	 411	CGCG 031-072            	    0.03310
124.4180	+02.8030	 412	1RXS J081749.0+025104   	    0.10600
124.5700	+01.3830	 413	2MASX J08181469+0122266 	    0.08900
125.7520	-04.9130	 416	Fairall 272             	    0.02180
127.4580	+41.9030	 418	2MASX J08294266+4154366 	    0.12630
127.6060	-67.3810	 419	2MASX J08301655-6725289 	    0.03480
128.1560	+37.1310	 420	FBQS J083225.3+370736   	    0.09190
129.9460	-12.2580	 425	3C 206                  	    0.19760
130.0480	+29.7880	 426	4C +29.30               	    0.06470
130.5040	+08.0020	 429	2MASX J08420557+0759253 	    0.13380
130.9090	+35.8620	 430	2MASX J08434495+3549421 	    0.05400
131.3450	+14.3440	 432	2MASX J08451850+1420345 	    0.06060
133.8320	+64.4110	 434	MCG +11-11-032          	    0.03600
133.9220	-28.9260	 435	2MASX J08551746-2854218 	    0.07300
134.0030	+78.1940	 436	NGC 2655                	    0.00470
134.9100	+44.9090	 437	NGC 2712                	    0.00610
135.6210	+60.1070	 439	Mrk 18                  	    0.01110
135.6550	-68.2290	 440	NGC 2788A               	    0.01330
135.8640	-74.2400	 442	2MASX J09034285-7414170 	    0.09100
136.1640	+55.5960	 443	2MASX J09043699+5536025 	    0.03700
137.9040	+45.4890	 446	2MASX J09112999+4528060 	    0.02680
139.3270	-64.9050	 448	2MASX J09172716-6456271 	    0.08600
139.6320	+16.2870	 449	Mrk 704                 	    0.02920
139.9130	+55.4030	 450	Mrk 106                 	    0.12340
140.0370	+37.2080	 451	IC 2461                 	    0.00750
140.1770	-08.0640	 453	MCG -01-24-012          	    0.01960
140.9470	+22.9250	 455	MCG +04-22-042          	    0.03230
140.9930	-31.6950	 456	2MASX J09235371-3141305 	    0.04240
141.2630	-84.3790	 457	2MASX J09261742-8421330 	    0.06320
141.2950	+52.2740	 458	Mrk 110                 	    0.03530
141.5210	+69.5090	 459	2MASX J09254750+6927532 	    0.03900
141.5260	+12.7690	 460	Mrk 705                 	    0.02910
141.8990	+23.0070	 461	NGC 2885                	    0.02630
142.4270	+62.5200	 463	CGCG 312-012            	    0.02560
143.6680	-21.9320	 465	ESO 565- G 019          	    0.01630
143.8660	+26.2660	 466	2MASX J09352707+2617093 	    0.12220
143.9830	+61.3350	 467	MCG +10-14-025          	    0.03940
144.0110	-65.8310	 468	2MASX J09360622-6548336 	    0.03920
145.5550	+23.7290	 470	CGCG 122-055            	    0.02140
146.4480	-14.3020	 471	NGC 2992                	    0.00770
146.9340	-30.9380	 472	MCG -05-23-016          	    0.00850
146.9340	+07.4120	 473	3C 227                  	    0.08580
147.5090	+73.2650	 474	VII Zw 292              	    0.05810
147.9730	-06.8280	 475	NGC 3035                	    0.01450
148.8630	+69.1180	 477	M 81                    	
149.8580	-22.8470	 480	NGC 3081                	    0.00800
149.8990	+13.0340	 481	NGC 3080                	    0.03540
149.9490	-31.2160	 482	2MASX J09594263-3112581 	    0.03700
150.4470	+28.7960	 483	3C 234.0                	    0.18490
150.5030	+55.6510	 484	NGC 3079                	    0.00370
150.8120	-37.3990	 485	ESO 374- G 025          	    0.02370
151.5000	-23.0640	 486	ESO 499- G 041          	    0.01280
152.2100	-09.9180	 488	2MASX J10084862-0954510 	    0.05730
152.4440	-42.8110	 489	ESO 263- G 013          	    0.03330
153.3200	-35.9680	 492	ESO 374- G 044          	    0.02840
154.2960	-04.0710	 493	2MASX J10171680-0404558 	    0.04080
155.1400	-02.6040	 495	2MASX J10195855-0234363 	    0.06020
155.4110	-03.4850	 496	ARK 241                 	    0.04080
155.8980	+19.8510	 497	NGC 3227                	    0.00390
157.3680	-38.3680	 498	ESO 317- G 038          	    0.01520
157.8820	-42.0760	 499	ESO 317- G 041          	    0.01930
157.9710	-14.2940	 501	2MASSi J1031543-141651  	    0.08600
157.9900	-34.8630	 502	NGC 3281                	    0.01070
158.1860	-28.5870	 503	ESO 436- G 034          	    0.01210
158.4300	+73.0370	 504	CGCG 333-038            	    0.02200
158.5260	+52.9730	 505	SDSS J103315.71+525217.8	    0.06530
160.0870	-46.4080	 509	2MASX J10402231-4625264 	    0.02000
160.6110	+00.7360	 511	SDSS J104208.36+004206.1	    0.09520
160.8520	+11.0680	 512	SDSS J104326.47+110524.2	    0.04760
161.0540	+70.3940	 513	MCG +12-10-067          	    0.03360
161.2320	+38.1550	 515	MCG +06-24-008          	    0.02590
161.6730	+25.9560	 517	UGC 05881               	    0.02050
162.1050	-25.1800	 518	NGC 3393                	    0.01250
162.3830	+22.9960	 519	Mrk 417                 	    0.03280
162.8100	-17.0510	 520	NGC 3431                	    0.01750
162.8100	-17.0510	 521	2MASX J10513744-1707292 	    0.01830
163.1670	+10.6320	 522	2MASX J10523297+1036205 	    0.08780
164.9640	+65.1160	 523	2MASX J10594361+6504063 	    0.08360
165.2300	+11.0620	 524	Mrk 728                 	    0.03560
165.8610	+37.4800	 525	FBQS J110340.2+372925   	    0.07390
166.4480	+58.9130	 528	CGCG 291-028            	    0.04770
166.4480	+58.9130	 529	2MASX J11053754+5851206 	    0.19160
166.6610	+72.5770	 530	NGC 3516                	    0.00880
167.7030	-28.5350	 531	ESO 438- G 009          	    0.02400
168.4520	+09.5280	 532	IC 2637                 	    0.02920
168.5300	+20.3720	 533	NGC 3588 NED01          	    0.02620
168.5510	+79.6870	 534	MCG +13-08-056          	    0.03720
168.8290	+54.4160	 535	MCG +09-19-015 NED02    	    0.07030
170.1780	-43.2910	 538	ESO 265- G 023          	    0.05600
171.3490	+54.3820	 542	ARP 151                 	    0.02110
171.6230	+35.2100	 543	Mrk 423                 	    0.03230
171.8610	+19.1600	 544	2MASX J11271632+1909198 	    0.10550
172.9030	-12.5360	 547	2MASX J11315154-1231587 	    0.65400
173.1330	+52.9940	 548	NGC 3718                	    0.00330
173.1990	+10.2630	 549	IC 2921                 	    0.04370
174.1500	+21.5820	 552	Mrk 739E                	    0.02990
174.7230	+25.4870	 554	2MASX J11383367+2523532 	    0.02540
174.7230	+25.4870	 555	SDSS J113915.13+253557.9	    0.21950
174.7320	+59.1990	 556	SBS 1136+594            	    0.06010
174.7390	-23.3660	 557	HE 1136-2304            	    0.02700
174.7610	-37.7360	 558	NGC 3783                	    0.00970
174.9450	+31.9480	 560	NGC 3786                	    0.00890
175.2780	+21.9220	 561	PG 1138+222             	    0.06320
175.5520	+10.3440	 562	NGC 3822                	    0.02090
176.1110	+36.8780	 565	KUG 1141+371            	    0.03810
176.1740	+79.6800	 566	UGC 06728               	    0.00650
176.3970	-18.4560	 567	2MASX J11454045-1827149 	    0.03290
176.4160	+58.9810	 568	MCG +10-17-061          	    0.00990
177.0380	+09.0060	 572	2MASX J11475508+0902284 	    0.06880
177.1960	+29.6410	 573	MCG +05-28-032          	    0.02300
177.3220	-04.2410	 574	2MASX J11491868-0416512 	    0.08450
177.3770	+53.2670	 575	SDSS J114921.52+532013.4	    0.09510
178.0200	-11.3910	 576	PG 1149-110             	    0.04900
178.1700	-05.1920	 577	MCG -01-30-041          	    0.01880
179.5300	+55.4430	 579	NGC 3998                	    0.00350
179.7160	+42.5700	 580	IC 0751                 	    0.03120
179.9170	-20.0270	 581	2MASSi J1159410-195924  	    0.45000
180.2410	+06.8060	 582	2MASX J12005792+0648226 	    0.03600
180.3090	-03.6850	 583	Mrk 1310                	    0.01940
180.7490	+44.5240	 585	NGC 4051                	    0.00230
181.1250	+20.3060	 586	ARK 347                 	    0.02240
181.2000	+27.9610	 587	GQ Com                  	    0.16530
181.2490	+31.1820	 588	UGC 07064               	    0.02500
181.4790	+49.9850	 589	2MASX J12055599+4959561 	    0.06310
181.5560	+52.7250	 590	NGC 4102                	    0.00280
181.8730	+33.8370	 591	B2 1204+34              	    0.07910
182.3020	+47.0430	 592	Mrk 198                 	    0.02420
182.3590	+43.6750	 593	NGC 4138                	    0.00300
182.5210	-46.6140	 594	2MASX J12100404-4636274 	    0.03150
182.6740	+39.4170	 595	NGC 4151                	    0.00330
182.6920	+38.3090	 596	KUG 1208+386            	    0.02280
182.8150	-39.5680	 597	2MASX J12111425-3933268 	    0.06110
183.2280	+07.0310	 599	NGC 4180                	    0.00700
183.2750	+32.6420	 600	CGCG 187-022            	    0.02490
183.4580	-05.5180	 604	2MASX J12135456-0530193 	    0.06600
183.5630	+29.5510	 605	Was 49b                 	    0.06320
184.2360	-26.2350	 606	ESO 505-IG 030          	    0.03970
184.2790	+07.1880	 607	NGC 4235                	    0.00800
184.6110	+29.8480	 608	Mrk 766                 	    0.01290
184.7290	+47.3200	 609	M 106                   	    0.00150
185.4340	+75.3180	 611	Mrk 205                 	    0.07080
185.8460	+02.6790	 613	Mrk 50                  	    0.02340
186.4530	+12.6790	 615	NGC 4388                	    0.00840
186.4850	+33.5460	 616	NGC 4395                	    0.00110
187.8650	+57.9540	 621	NGC 4500                	    0.01040
187.9520	-47.9820	 622	2MASX J12313717-4758019 	    0.02780
187.9990	+20.1590	 623	Mrk 771                 	    0.06300
188.0120	-42.3170	 624	1RXS J123212.3-421745   	    0.09800
188.8710	-39.8910	 626	NGC 4507                	    0.01180
189.6550	+09.4680	 628	2MASX J12384342+0927362 	    0.08290
189.7340	-27.3090	 629	ESO 506-G027            	    0.02500
189.7800	-16.1720	 630	LEDA 170194             	    0.03670
189.9220	-05.3290	 631	NGC 4593                	    0.00900
190.0390	+34.9460	 632	Mrk 653                 	    0.04310
190.0390	+34.9460	 633	NGC 4619                	    0.02310
190.1360	-33.6030	 634	ESO 381- G 007          	    0.05500
190.1940	+27.5770	 635	KUG 1238+278A           	    0.05650
191.6730	+54.5320	 638	NGC 4686                	    0.01670
193.0660	-13.3810	 641	NGC 4748                	    0.01460
193.3760	-41.6150	 643	ESO 323-32              	    0.01600
193.7180	-26.9300	 644	6dF J1254564-265702     	    0.05910
195.0220	+16.5750	 648	2MASX J13000533+1632151 	    0.08000
195.7200	+16.4030	 651	Mrk 783                 	    0.06720
195.9940	+53.7960	 652	SBS 1301+540            	    0.02990
196.0790	-05.5290	 653	NGC 4941                	    0.00370
196.0830	-10.3740	 654	NGC 4939                	    0.01040
